user_id,event_type,timestamp,session_id,device,country
1,add_to_cart,2024-01-15 00:00:00,s_1_0,desktop,UK
1,view,2024-01-15 00:05:00,s_1_0,android,US
1,view,2024-01-15 00:10:00,s_1_0,desktop,UK
1,purchase,2024-01-15 00:17:00,s_1_0,android,US
1,purchase,2024-01-15 00:19:00,s_1_1,desktop,US
1,logout,2024-01-15 00:26:00,s_1_1,desktop,UK
1,add_to_cart,2024-01-15 00:29:00,s_1_1,desktop,Canada
1,logout,2024-01-15 00:32:00,s_1_1,desktop,Canada
1,view,2024-01-15 00:37:00,s_1_2,ios,Canada
1,logout,2024-01-15 00:40:00,s_1_2,desktop,India
1,logout,2024-01-15 00:46:00,s_1_2,android,Canada
1,login,2024-01-15 00:51:00,s_1_2,desktop,Canada
1,add_to_cart,2024-01-15 00:53:00,s_1_2,ios,US
1,logout,2024-01-15 00:57:00,s_1_3,android,UK
1,click,2024-01-15 01:03:00,s_1_3,android,India
1,login,2024-01-15 01:05:00,s_1_3,ios,US
1,logout,2024-01-15 01:09:00,s_1_3,ios,UK
1,logout,2024-01-15 01:14:00,s_1_3,android,Canada
1,view,2024-01-15 01:15:00,s_1_3,desktop,US
1,purchase,2024-01-15 01:19:00,s_1_3,ios,India
1,purchase,2024-01-15 01:21:00,s_1_4,desktop,US
1,add_to_cart,2024-01-15 01:26:00,s_1_4,desktop,India
1,logout,2024-01-15 01:30:00,s_1_4,ios,India
1,logout,2024-01-15 01:31:00,s_1_4,desktop,Canada
1,view,2024-01-15 01:32:00,s_1_4,desktop,Canada
1,logout,2024-01-15 01:35:00,s_1_4,android,India
1,add_to_cart,2024-01-15 01:38:00,s_1_4,android,India
1,login,2024-01-15 01:45:00,s_1_5,ios,US
1,purchase,2024-01-15 01:49:00,s_1_5,android,Canada
1,click,2024-01-15 01:53:00,s_1_5,android,Canada
1,logout,2024-01-15 02:00:00,s_1_6,desktop,India
1,login,2024-01-15 02:06:00,s_1_6,desktop,Canada
1,logout,2024-01-15 02:13:00,s_1_6,ios,India
1,click,2024-01-15 02:19:00,s_1_6,ios,Canada
1,login,2024-01-15 02:22:00,s_1_6,ios,India
1,click,2024-01-15 02:26:00,s_1_6,android,UK
1,add_to_cart,2024-01-15 02:33:00,s_1_6,desktop,Canada
1,purchase,2024-01-15 02:37:00,s_1_7,ios,India
1,click,2024-01-15 02:38:00,s_1_7,desktop,Canada
1,logout,2024-01-15 02:41:00,s_1_7,ios,Canada
1,login,2024-01-15 02:46:00,s_1_7,desktop,India
1,login,2024-01-15 02:49:00,s_1_7,android,US
1,logout,2024-01-15 02:56:00,s_1_7,desktop,Canada
1,purchase,2024-01-15 03:01:00,s_1_7,desktop,US
1,click,2024-01-15 03:02:00,s_1_7,ios,UK
1,login,2024-01-15 03:09:00,s_1_7,ios,Canada
1,view,2024-01-15 03:11:00,s_1_8,ios,India
1,logout,2024-01-15 03:12:00,s_1_8,android,UK
1,logout,2024-01-15 03:16:00,s_1_8,ios,UK
1,add_to_cart,2024-01-15 03:22:00,s_1_8,ios,India
1,login,2024-01-15 03:24:00,s_1_8,android,US
1,click,2024-01-15 03:26:00,s_1_9,android,Canada
